word,count
в,4
бы,3
его,2
животное,2
не,2
тайге,2
это,2
а,1
бежит,1
было,1
быстрые,1
ветра,1
внутри,1
воздух,1
вперед,1
время,1
горах,1
даже,1
длинная,1
длинных,1
для,1
ее,1
если,1
жарко,1
жесткого,1
зверек,1
им,1
июле,1
каждая,1
как,1
которую,1
красавец,1
кусты,1
легко,1
летнее,1
морозных,1
на,1
наполняет,1
него,1
нос,1
носу,1
ночей,1
олень,1
он,1
отморозил,1
переплывает,1
по,1
под,1
подминает,1
покрыт,1
потому,1
просторов,1
реки,1
себя,1
северное,1
северных,1
серебристой,1
создан,1
тонет,1
трубочка,1
у,1
холодно,1
что,1
шерстинка-,1
шерсткой,1
